BE,1.9,2.3,2.6,3.1,3.6,4.7,5.7,6.3,7.2,7.5,8.0,7.9
BG,9.4,9.4,9.6,9.2,10.5,12.1,14.1,14.3,16.0,19.0,18.0,18.2
CZ,6.8,7.1,7.4,8.0,8.6,9.9,10.5,11.0,12.8,13.8,15.1,15.1
DK,14.9,16.0,16.3,17.8,18.6,20.0,22.1,23.5,25.7,27.4,29.3,30.8
DE,5.8,6.7,7.7,9.1,8.6,9.9,10.5,11.4,12.1,12.4,13.8,14.6
EE,18.4,17.5,16.1,17.1,18.9,23.0,24.6,25.5,25.8,25.6,26.3,28.6
IE,2.4,2.9,3.1,3.6,4.1,5.1,5.6,6.6,7.2,7.7,8.7,9.2
GR,6.9,7.0,7.2,8.2,8.0,8.5,9.8,10.9,13.5,15.0,15.3,15.4
ES,8.3,8.4,9.2,9.7,10.8,13.0,13.8,13.2,14.3,15.3,16.1,16.2
FR,9.4,9.5,9.3,10.1,11.1,12.1,12.5,11.1,13.4,14.1,14.7,15.2
HR,23.5,23.8,22.7,22.2,22.0,23.6,25.1,25.4,26.8,28.0,27.9,29.0
IT,6.3,7.5,8.3,9.8,11.5,12.8,13.0,12.9,15.4,16.7,17.1,17.5
CY,3.1,3.1,3.3,4.0,5.1,5.6,6.0,6.0,6.8,8.1,8.9,9.4
LV,32.8,32.3,31.1,29.6,29.8,34.3,30.4,33.5,35.7,37.1,38.7,37.6
LT,17.2,16.8,16.9,16.5,17.8,19.8,19.6,19.9,21.4,22.7,23.6,25.8
LU,0.9,1.4,1.5,2.7,2.8,2.9,2.9,2.9,3.1,3.5,4.5,5.0
HU,4.4,4.5,5.1,5.9,6.5,8.0,12.8,14.0,15.5,16.2,14.6,14.5
MA,0.1,0.2,0.2,0.2,0.2,0.2,1.0,1.9,2.8,3.7,4.7,5.0
NL,2.1,2.5,2.8,3.3,3.6,4.3,3.9,4.5,4.7,4.8,5.5,5.8
AT,22.6,23.9,25.4,27.2,28.1,29.9,30.4,30.6,31.4,32.3,32.8,33.3
PL,6.9,6.9,6.9,6.9,7.7,8.7,9.3,10.3,10.9,11.4,11.5,11.8
RO,16.3,17.3,17.1,18.3,20.5,22.7,23.4,21.4,22.8,23.9,24.8,24.8
SI,16.1,16.0,15.6,15.6,15.0,20.1,20.4,20.3,20.8,22.4,21.5,22.0
SK,6.4,6.4,6.6,7.8,7.7,9.4,9.1,10.3,10.4,10.1,11.7,12.9
FI,29.2,28.8,30.0,29.6,31.3,31.3,32.4,32.8,34.4,36.7,38.7,39.3
SE,38.7,40.6,42.7,44.2,45.3,48.2,47.2,48.7,51.1,52.0,52.5,53.9
GB,1.1,1.3,1.5,1.8,2.7,3.3,3.7,4.2,4.6,5.7,7.1,8.2
IS,58.9,60.1,60.8,71.5,67.5,69.7,70.4,71.6,72.5,71.7,70.5,70.2
NO,58.1,59.8,60.2,60.1,61.7,64.8,61.2,64.6,65.6,66.7,69.4,69.4
AL,28.1,30.7,32.1,32.8,32.9,31.4,32.0,31.4,35.2,33.2,32.0,34.9
ME,35.0,35.7,34.8,32.9,32.3,39.4,40.6,40.7,41.6,43.7,44.1,43.1
MK,15.7,16.5,16.5,15.0,15.6,17.2,16.5,16.4,18.1,18.5,19.6,19.9
TR,16.2,15.6,14.1,13.3,13.5,14.3,14.2,13.0,13.1,14.0,13.7,13.6
